block_height,block_timestamp,tx_hash,sender,recipient,quantums,USDC
12827579,2024-04-09 04:08:22.003000 UTC,3D5A3940BA4F93F52646B43064062D3AF3F4D4777A5F2E7666D5F3AF0A27C384,dydx1fx9qt7rw3d2l2u0ut72fh204s60mr29wukksrr,dydx1wnhv3tz48u66pwuwqekflll5vxl0p2mkvaldev,5E+11,500000
11176453,2024-03-19 08:42:30.261000 UTC,39FE14A468D073D9F2E540DCE4A9D34F559EB4C87CF7C83BE37273331FDF21AC,dydx1jczslr8n977y8lhk079ygafhxhvuzd5j0ewv75,dydx12u2xq9vgy087zngm60luvs7kkl9cquldt6u2n0,4.95274E+11,495273.5538
22026290,2024-08-04 22:55:54.309000 UTC,2D4CDC65D6EE83E19BFBAC426B7BA53C04183D90D501EE18A73FA3DD02E11A4E,dydx1jczslr8n977y8lhk079ygafhxhvuzd5j0ewv75,dydx1ga2g8x3dxdngwcvpx472m0l3lnkwnpu5ht2r2h,4.4E+11,440000
21077755,2024-07-24 11:00:39.793000 UTC,AD1F37F5577F22E2D9C9AF1A340D34321EF7F8560FBBACAD445F7810BE9A1401,dydx1fv0ewuq7e7c3h6fwtsrl6fsx3rqgyfc640grf8,dydx1vaar5gsyccy4nlrgd89eh5yenux88tjghelduq,4.04946E+11,404945.5099
21429712,2024-07-28 19:08:04.794000 UTC,02EDA1A6BE6EFD10791ACEB6307262E34A34FE5F82B2ECFA57ADE63E1E6D93F0,dydx1vaar5gsyccy4nlrgd89eh5yenux88tjghelduq,dydx1xz2uk354w2jwyrdaf9mwyn9wy8wr4yurktxcu7,4E+11,400000
19665851,2024-07-04 23:53:08.034000 UTC,DAB6ED70048C7633E20C6EC7F57906B7C8A1E2E0BBD02137A9795B4F4B154484,dydx1t3c2axk9pt2qwylruf0s93qjdlxdtlrn90gzw0,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,4E+11,400000
18295480,2024-06-16 20:53:03.739000 UTC,067CA568970742E04BF569CA02D0DB81052A7A6F391F9C9071A78F7D48603251,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,4E+11,400000
16725407,2024-05-27 22:30:09.906000 UTC,AC01E07E53A9E7FC3F5CBB3B4AC9E7EA4A02E15DD469747665D9161FDB702FCD,dydx1jczslr8n977y8lhk079ygafhxhvuzd5j0ewv75,dydx1ac2amxhf0vsytl2lulmhxvl2pcmn5zq9e0c6et,3.99999E+11,399998.9801
21650446,2024-07-31 10:25:40.009000 UTC,329470E0A3E6CCF45AEF8A842502F6BA63CB11FF6522720478F5FD6756F4DEEA,dydx1dm8ykf2fcqcycx349lpqvzh38jdmpdhdwqgufa,dydx18epu5pae2uskq23xd5cjnjwcxqxnz9epxqh86n,3.8371E+11,383709.6567
18869955,2024-06-24 22:04:34.883000 UTC,8550262FDE1436E8A6A1BC9DBE0DE423F0AA788D368B67D4C0DB2D272AC06BBF,dydx1343n8g7yjvg9almky675hp86k0zpsqyttnkprd,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,3.24E+11,324000
21077874,2024-07-24 11:02:51.223000 UTC,028A1C1DCE29A0DD8FC2CA236D509BC457295EAD87D32BE20DDC02DC896803E4,dydx1t3c2axk9pt2qwylruf0s93qjdlxdtlrn90gzw0,dydx1u66cc6fvaghd3gs0shlgp6w94e04y0lj8ehy2c,3E+11,300000
5634035,2024-01-11 08:20:20.536000 UTC,7C92173BD2DB045FFD644A3FB6276138E516DA8AC9EA8D142A1C18367C8B247E,dydx1wz7a2ehjq0n6q7fpqkakp9928kjjhh6wzskhhe,dydx189wlhjskzqee3944ykd75t7gvjea0k72ptvcux,2.99999E+11,299999
9784243,2024-03-01 13:29:22.114000 UTC,95FF523CBD65B249A3A7FE3D262B4711C407A568CD3B0880E05631D15FC72984,dydx1t73v4zyqqqynrlrz9wqhr2q3j2fuznwjl9q4gd,dydx16xte0rprul55ndk3vnkm32vsn3peaaxngvphns,2.53012E+11,253011.6116
11145799,2024-03-18 22:51:51.272000 UTC,1DE428803868CD5F2C6EC4829F6008555FB6BCD29D0F988F29A729C59CBD8B0A,dydx1jczslr8n977y8lhk079ygafhxhvuzd5j0ewv75,dydx12u2xq9vgy087zngm60luvs7kkl9cquldt6u2n0,2.5E+11,250000
3202583,2023-12-12 10:33:49.782000 UTC,82865C75F9F11747E600F07C77CE511426E2D3130A91E9D452BF5288662C64CF,dydx176jwcephxu22hxwa32kshd4hd9qlnr2jkzl4tj,dydx102nnlm75ca4kvqh4w946cwfjfs9jezrj62zm35,2.5E+11,250000
19611887,2024-07-04 07:11:12.749000 UTC,738619B87C9A98FC126F58AAABF97680D303A460E711752462984B0EF047FB02,dydx1fv0ewuq7e7c3h6fwtsrl6fsx3rqgyfc640grf8,dydx1fx9qt7rw3d2l2u0ut72fh204s60mr29wukksrr,2E+11,200000
18860925,2024-06-24 19:01:23.749000 UTC,E6D1AD333F991E21B308CAA3126C04ED81F0A86E59D558019E2E72AB9B6FC42E,dydx1343n8g7yjvg9almky675hp86k0zpsqyttnkprd,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,2E+11,200000
14269248,2024-04-27 21:13:12.021000 UTC,7AE815942E86AE35298CC6A33BE24473F6915BD536DCF7DF27330657EE194507,dydx12u2xq9vgy087zngm60luvs7kkl9cquldt6u2n0,dydx1ac2amxhf0vsytl2lulmhxvl2pcmn5zq9e0c6et,2E+11,200000
11300511,2024-03-21 00:10:06.162000 UTC,F72E31168077E82B2E0FBED5389C46B9C3F14AAA595FE15A046B8BD259CE1462,dydx1jczslr8n977y8lhk079ygafhxhvuzd5j0ewv75,dydx1ntv4qwhj7eqr92d2gl7crpa5re6cl2d7ae3xst,1.74999E+11,174999
